company_name,category,market,platform,handle,url,confidence,notes
Constantin Film,verleih_major,DE,instagram,constantinfilm,https://www.instagram.com/constantinfilm/,verified,
20th Century Studios Deutschland,verleih_major,DE,instagram,20thcenturystudiosde,https://www.instagram.com/20thcenturystudiosde/,verified,"63K Follower, 5117 Posts; Bio nennt Der Teufel traegt Prada 2 Release 2026-04-30"
Paramount Pictures Deutschland,verleih_major,DE,instagram,paramount_pictures_germany,https://www.instagram.com/paramount_pictures_germany/,verified,"Korrigiert von paramountpicturesde -> paramount_pictures_germany; 76K Follower, 3472 Posts"
Sony Pictures Deutschland,verleih_major,DE,instagram,sonypictures.de,https://www.instagram.com/sonypictures.de/,verified,"Korrigiert von sonypicturesde -> sonypictures.de (mit Punkt); 76K Follower, 5902 Posts"
Studiocanal Deutschland,verleih_major,DE,instagram,studiocanal.de,https://www.instagram.com/studiocanal.de/,verified,"Korrigiert von studiocanalde -> studiocanal.de (mit Punkt); 43K Follower, 3396 Posts"
Universal Pictures Deutschland,verleih_major,DE,instagram,universalpicturesde,https://www.instagram.com/universalpicturesde/,verified,"143K Follower, 3683 Posts; aktiv innerhalb der letzten 30 Tage (Stand 2026-05-03)"
Warner Bros. Deutschland,verleih_major,DE,instagram,warnerbrosde,https://www.instagram.com/warnerbrosde/,verified,"204K Follower, 5663 Posts; Bio referenziert Mortal Kombat II Release 2026-05-07"
Constantin Film,verleih_major,DE,youtube,ConstantinFilm,https://www.youtube.com/@ConstantinFilm,verified,
Sony Pictures Deutschland,verleih_major,DE,youtube,SonyPicturesGermany,https://www.youtube.com/@SonyPicturesGermany,verified,Channel-ID UCn-z5y-cFNPoPWDwTBMDLlQ; vollstaendiges Impressum Sony Pictures Entertainment Deutschland GmbH Berlin
Universal Pictures Deutschland,verleih_major,DE,youtube,UniversalPicturesDE,https://www.youtube.com/@UniversalPicturesDE,verified,Korrigiert von UniversalPicturesGermany -> UniversalPicturesDE; Channel-ID UCPqZp43m3Cg69JkvCvXh8Eg; aktuelle 2026er-Trailer
Warner Bros. Deutschland,verleih_major,DE,youtube,WarnerBrosDE,https://www.youtube.com/@WarnerBrosDE,verified,"Channel ""Warner Bros. Germany"" UCR88edMaCp9veFK6PVXyYpQ; letztes Video ca. 4 Wochen alt"
Disney+ Deutschland,streamer,DE,instagram,disneyplusde,https://www.instagram.com/disneyplusde/,verified,
